Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
102804	3.2501e-002	3.2949e-002	4.9098e-002	1.1045e-006
102805	3.2336e-002	3.2979e-002	4.9085e-002	1.238e-006
102810	3.2874e-002	3.3153e-002	4.9112e-002	9.137e-007
102813	3.267e-002	3.2909e-002	4.9113e-002	9.7611e-007
102818	3.2548e-002	3.3227e-002	4.9082e-002	1.1692e-006
102819	3.2608e-002	3.3065e-002	4.9097e-002	1.0712e-006
102820	3.2717e-002	3.3187e-002	4.9097e-002	1.0288e-006
102824	2.8028e-002	3.2028e-002	4.9227e-002	4.7685e-007
102830	2.8325e-002	3.1829e-002	4.9225e-002	5.2339e-007
102836	2.7899e-002	3.162e-002	4.9287e-002	3.4683e-007
102837	2.8049e-002	3.1514e-002	4.9286e-002	3.6225e-007
102838	2.804e-002	3.1682e-002	4.9266e-002	3.9935e-007
102841	2.7885e-002	3.1959e-002	4.9248e-002	4.1574e-007
102842	2.8033e-002	3.1858e-002	4.9246e-002	4.3823e-007
102845	2.8183e-002	3.1751e-002	4.9245e-002	4.5743e-007
102847	2.8332e-002	3.1654e-002	4.9245e-002	4.7612e-007
102849	2.8019e-002	3.1002e-002	4.9359e-002	2.4559e-007
102850	2.8051e-002	3.1336e-002	4.9309e-002	3.2285e-007
102852	2.8038e-002	3.1166e-002	4.9334e-002	2.8386e-007
102854	2.8175e-002	3.1056e-002	4.9337e-002	2.8855e-007
102856	2.8364e-002	3.1088e-002	4.9318e-002	3.3375e-007
102858	2.8192e-002	3.1398e-002	4.9289e-002	3.7158e-007
102859	2.8347e-002	3.128e-002	4.9292e-002	3.7926e-007
102860	2.8344e-002	3.1457e-002	4.9269e-002	4.2538e-007
102883	3.0415e-002	3.1278e-002	4.9207e-002	7.5972e-007
102889	3.005e-002	3.1319e-002	4.9205e-002	7.5215e-007
102897	3.0211e-002	3.0761e-002	4.9283e-002	5.0892e-007
102898	3.0155e-002	3.0951e-002	4.9255e-002	5.8549e-007
102900	3.0101e-002	3.113e-002	4.923e-002	6.6348e-007
102902	3.0285e-002	3.1117e-002	4.923e-002	6.7132e-007
102904	3.0468e-002	3.1098e-002	4.9232e-002	6.7018e-007
102907	3.0671e-002	3.0605e-002	4.9306e-002	4.5896e-007
102910	3.0275e-002	3.0589e-002	4.931e-002	4.4579e-007
102914	3.0597e-002	3.0766e-002	4.9281e-002	5.2261e-007
102915	3.0533e-002	3.0937e-002	4.9255e-002	5.9536e-007
102916	3.0402e-002	3.0766e-002	4.9281e-002	5.1964e-007
102922	3.0744e-002	3.2365e-002	4.9081e-002	1.5713e-006
102927	3.0517e-002	3.2109e-002	4.9106e-002	1.3347e-006
102936	3.0791e-002	3.2202e-002	4.9098e-002	1.4108e-006
102937	3.0565e-002	3.1943e-002	4.9125e-002	1.1993e-006
102938	3.0677e-002	3.2073e-002	4.9111e-002	1.3047e-006
102940	3.0839e-002	3.2036e-002	4.9116e-002	1.2665e-006
102941	3.0885e-002	3.1871e-002	4.9135e-002	1.1318e-006
102946	3.0545e-002	3.1439e-002	4.9185e-002	8.5569e-007
102950	3.0448e-002	3.1799e-002	4.9141e-002	1.0854e-006
102957	3.0718e-002	3.1407e-002	4.919e-002	8.3583e-007
102958	3.0664e-002	3.1586e-002	4.9167e-002	9.4597e-007
102960	3.0781e-002	3.173e-002	4.915e-002	1.0377e-006
102961	3.0941e-002	3.1695e-002	4.9156e-002	1.0028e-006
102963	3.0608e-002	3.1763e-002	4.9145e-002	1.0675e-006
102966	3.0902e-002	3.1384e-002	4.9195e-002	8.1495e-007
102967	3.1081e-002	3.1353e-002	4.9202e-002	7.8197e-007
102968	3.1015e-002	3.1523e-002	4.9178e-002	8.8559e-007
102970	2.9516e-002	3.2089e-002	4.9127e-002	1.0821e-006
102977	2.9185e-002	3.2158e-002	4.9134e-002	9.8722e-007
102989	2.9554e-002	3.1894e-002	4.9147e-002	9.7611e-007
102991	2.9381e-002	3.1921e-002	4.9151e-002	9.3306e-007
102994	2.9053e-002	3.2019e-002	4.9156e-002	8.5962e-007
102995	2.9212e-002	3.1977e-002	4.9152e-002	9.0193e-007
102999	2.9249e-002	3.1782e-002	4.9173e-002	8.1682e-007
103000	2.9279e-002	3.1593e-002	4.9194e-002	7.3502e-007
103001	2.9109e-002	3.1649e-002	4.9195e-002	7.1133e-007
103004	2.9734e-002	3.188e-002	4.9143e-002	1.0186e-006
103009	2.9824e-002	3.1519e-002	4.9184e-002	8.2661e-007
103015	2.9599e-002	3.1712e-002	4.9167e-002	8.8223e-007
103016	2.9686e-002	3.1352e-002	4.921e-002	7.1366e-007
