Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
104365	3.0825e-002	3.7609e-002	4.9063e-002	8.1888e-008
104366	3.1164e-002	3.7564e-002	4.9064e-002	2.1973e-007
104368	3.0992e-002	3.759e-002	4.9063e-002	1.5063e-007
104370	3.0885e-002	3.7464e-002	4.9051e-002	1.1246e-007
104372	3.0948e-002	3.7321e-002	4.904e-002	1.4708e-007
104374	3.1107e-002	3.7304e-002	4.9042e-002	2.1589e-007
104375	3.133e-002	3.7542e-002	4.9066e-002	2.8058e-007
104377	3.1218e-002	3.7422e-002	4.9054e-002	2.5129e-007
104379	3.1274e-002	3.7282e-002	4.9044e-002	2.8272e-007
104381	3.1448e-002	3.7251e-002	4.9046e-002	3.4547e-007
104395	3.0629e-002	3.6651e-002	4.8993e-002	-4.9692e-009
104398	3.0958e-002	3.6611e-002	4.8993e-002	2.1949e-007
104403	3.0676e-002	3.6473e-002	4.8984e-002	3.8829e-008
104404	3.1e-002	3.6437e-002	4.8985e-002	2.8012e-007
104406	3.0846e-002	3.6464e-002	4.8984e-002	1.6489e-007
104408	3.0717e-002	3.6299e-002	4.8976e-002	8.1055e-008
104410	3.0763e-002	3.613e-002	4.897e-002	1.5221e-007
104413	3.1167e-002	3.6419e-002	4.8988e-002	3.5644e-007
104414	3.1329e-002	3.6391e-002	4.899e-002	4.0636e-007
104416	3.1284e-002	3.6097e-002	4.8977e-002	4.4592e-007
104418	3.1384e-002	3.623e-002	4.8985e-002	4.3851e-007
104419	3.1489e-002	3.6367e-002	4.8994e-002	4.329e-007
104421	3.0946e-002	3.6127e-002	4.8971e-002	2.9508e-007
104422	3.1114e-002	3.6109e-002	4.8974e-002	4.2885e-007
104423	3.1056e-002	3.6272e-002	4.8979e-002	3.578e-007
104425	3.3316e-002	3.9204e-002	4.9386e-002	5.4571e-007
104429	3.2981e-002	3.9127e-002	4.9344e-002	5.1224e-007
104438	3.3293e-002	3.9044e-002	4.9361e-002	5.5545e-007
