Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
97309	3.5789e-002	3.9107e-002	4.9729e-002	-1.8651e-007
97311	3.5924e-002	3.922e-002	4.9771e-002	-1.8823e-007
97323	3.5643e-002	3.9576e-002	4.9773e-002	-1.8986e-007
97328	3.5941e-002	3.9776e-002	4.9863e-002	-1.8717e-007
97332	3.5933e-002	3.9552e-002	4.9825e-002	-1.8848e-007
97333	3.5779e-002	3.9482e-002	4.9784e-002	-1.894e-007
97334	3.5952e-002	3.9356e-002	4.9797e-002	-1.8862e-007
97348	3.6188e-002	3.9179e-002	4.9818e-002	-1.8709e-007
97351	3.6474e-002	3.9313e-002	4.9898e-002	-1.8228e-007
97352	3.6215e-002	3.9315e-002	4.9844e-002	-1.8647e-007
97353	2.9137e-002	4.1915e-002	4.9818e-002	-1.9992e-007
97354	2.935e-002	4.1676e-002	4.9749e-002	-2.0022e-007
97356	2.9233e-002	4.181e-002	4.9787e-002	-2.0067e-007
97358	2.9083e-002	4.1758e-002	4.9782e-002	-2.0055e-007
97360	2.9001e-002	4.1621e-002	4.9754e-002	-2.001e-007
97362	2.9206e-002	4.1218e-002	4.9651e-002	-1.8958e-007
97364	2.9254e-002	4.1368e-002	4.9682e-002	-1.9473e-007
97366	2.9303e-002	4.1526e-002	4.9716e-002	-1.983e-007
97368	2.913e-002	4.1495e-002	4.9717e-002	-1.9827e-007
97369	2.8952e-002	4.1464e-002	4.972e-002	-1.9832e-007
97372	2.869e-002	4.1102e-002	4.9655e-002	-1.9009e-007
97375	2.8775e-002	4.1436e-002	4.9724e-002	-1.985e-007
97380	2.8858e-002	4.1152e-002	4.9655e-002	-1.9015e-007
97381	2.9035e-002	4.1179e-002	4.9651e-002	-1.8949e-007
97382	2.8904e-002	4.131e-002	4.9687e-002	-1.9518e-007
97388	2.9461e-002	4.0991e-002	4.959e-002	-1.7376e-007
97390	2.9426e-002	4.0849e-002	4.9562e-002	-1.6274e-007
97392	2.939e-002	4.0713e-002	4.9536e-002	-1.5023e-007
97393	2.9555e-002	4.0746e-002	4.9536e-002	-1.5022e-007
97394	2.97e-002	4.0763e-002	4.9535e-002	-1.4946e-007
97397	3.0562e-002	4.058e-002	4.9485e-002	-1.167e-007
97404	3.0733e-002	4.0315e-002	4.9435e-002	-7.01e-008
97412	3.0401e-002	4.0571e-002	4.9484e-002	-1.1581e-007
97413	3.0487e-002	4.0438e-002	4.9458e-002	-9.3555e-008
97417	3.0252e-002	4.0287e-002	4.943e-002	-6.6487e-008
97420	3.0338e-002	4.0154e-002	4.9405e-002	-3.5883e-008
97421	3.0412e-002	4.0296e-002	4.9431e-002	-6.668e-008
97423	3.0573e-002	4.0305e-002	4.9432e-002	-6.7899e-008
97424	3.0659e-002	4.0173e-002	4.9408e-002	-3.8864e-008
97427	3.0138e-002	4.1073e-002	4.959e-002	-1.7341e-007
97430	3.0363e-002	4.083e-002	4.9536e-002	-1.4986e-007
97434	2.9969e-002	4.1059e-002	4.959e-002	-1.7342e-007
97435	3.0083e-002	4.0933e-002	4.9561e-002	-1.6204e-007
97437	2.997e-002	4.0661e-002	4.9507e-002	-1.3294e-007
97438	3.0022e-002	4.0798e-002	4.9534e-002	-1.489e-007
97439	2.9862e-002	4.0781e-002	4.9534e-002	-1.4907e-007
97442	3.0191e-002	4.0813e-002	4.9534e-002	-1.4893e-007
97443	3.0303e-002	4.0695e-002	4.9509e-002	-1.3388e-007
97448	2.9634e-002	4.102e-002	4.959e-002	-1.7373e-007
97449	2.9752e-002	4.09e-002	4.9561e-002	-1.6246e-007
97450	2.9795e-002	4.1039e-002	4.959e-002	-1.7343e-007
97452	2.9908e-002	4.0525e-002	4.9482e-002	-1.149e-007
97453	3.0068e-002	4.0542e-002	4.9482e-002	-1.147e-007
97455	3.0166e-002	4.0418e-002	4.9456e-002	-9.2681e-008
97456	3.0091e-002	4.0275e-002	4.9431e-002	-6.6751e-008
97458	3.0228e-002	4.0553e-002	4.9482e-002	-1.1443e-007
97470	2.9849e-002	4.0386e-002	4.9456e-002	-9.3325e-008
97471	2.9718e-002	4.0105e-002	4.9408e-002	-4.0709e-008
97472	2.9782e-002	4.0242e-002	4.9431e-002	-6.7949e-008
97474	2.9939e-002	4.0262e-002	4.9431e-002	-6.7596e-008
97475	3.0024e-002	4.0131e-002	4.9405e-002	-3.6648e-008
97493	3.0796e-002	4.1366e-002	4.9653e-002	-1.8985e-007
97494	3.0678e-002	4.1507e-002	4.9684e-002	-1.9501e-007
97496	3.046e-002	4.1772e-002	4.9747e-002	-2.0033e-007
97498	3.0569e-002	4.1642e-002	4.9716e-002	-1.9849e-007
97501	3.0758e-002	4.165e-002	4.9718e-002	-1.9859e-007
97504	3.0948e-002	4.1663e-002	4.9723e-002	-1.9893e-007
97505	3.0838e-002	4.1799e-002	4.9755e-002	-2.0046e-007
97508	3.0441e-002	4.2212e-002	4.9857e-002	-1.9838e-007
97509	3.0624e-002	4.2062e-002	4.9819e-002	-2.0026e-007
97511	3.0358e-002	4.1888e-002	4.9776e-002	-2.01e-007
97513	3.0547e-002	4.1902e-002	4.9778e-002	-2.01e-007
97514	3.0726e-002	4.1946e-002	4.979e-002	-2.0096e-007
97518	2.4476e-002	3.5963e-002	4.9619e-002	-1.6232e-007
97527	2.4536e-002	3.6308e-002	4.9619e-002	-1.6389e-007
97538	2.4608e-002	3.5876e-002	4.9588e-002	-1.5401e-007
97539	2.4633e-002	3.6049e-002	4.9588e-002	-1.5484e-007
97543	2.4916e-002	3.6041e-002	4.9529e-002	-1.3222e-007
97546	2.4944e-002	3.6209e-002	4.953e-002	-1.3325e-007
97547	2.4791e-002	3.6132e-002	4.9558e-002	-1.45e-007
97549	2.4661e-002	3.6218e-002	4.9588e-002	-1.5571e-007
97550	2.4696e-002	3.639e-002	4.9589e-002	-1.5654e-007
97552	2.5145e-002	3.5546e-002	4.9471e-002	-9.5828e-008
97560	2.5439e-002	3.5715e-002	4.9419e-002	-5.0186e-008
97592	2.4588e-002	3.5707e-002	4.9588e-002	-1.5329e-007
97595	2.4863e-002	3.5542e-002	4.9527e-002	-1.293e-007
97602	2.4743e-002	3.5794e-002	4.9557e-002	-1.4333e-007
97603	2.5046e-002	3.5957e-002	4.95e-002	-1.1659e-007
97605	2.4893e-002	3.588e-002	4.9529e-002	-1.3146e-007
97607	2.4873e-002	3.5711e-002	4.9528e-002	-1.3069e-007
97609	2.5013e-002	3.5628e-002	4.9499e-002	-1.1415e-007
97623	2.5199e-002	3.6037e-002	4.9473e-002	-9.8944e-008
97626	2.5461e-002	3.5876e-002	4.9419e-002	-5.0762e-008
97631	2.5154e-002	3.5715e-002	4.9473e-002	-9.7362e-008
97632	2.5176e-002	3.5876e-002	4.9473e-002	-9.7972e-008
97633	2.5307e-002	3.5794e-002	4.9445e-002	-7.5899e-008
97648	2.4215e-002	3.7673e-002	4.9784e-002	-1.8304e-007
97653	2.3876e-002	3.763e-002	4.986e-002	-1.7863e-007
97666	2.4029e-002	3.6901e-002	4.9766e-002	-1.7997e-007
97673	2.3915e-002	3.6574e-002	4.9774e-002	-1.7837e-007
97681	2.3781e-002	3.6554e-002	4.9805e-002	-1.7741e-007
97683	2.3526e-002	3.6806e-002	4.9884e-002	-1.7316e-007
97684	2.3828e-002	3.672e-002	4.9803e-002	-1.7822e-007
97686	2.3947e-002	3.7063e-002	4.9797e-002	-1.7999e-007
97687	2.388e-002	3.6902e-002	4.9802e-002	-1.7912e-007
97688	2.3578e-002	3.6988e-002	4.9883e-002	-1.7403e-007
97689	2.3746e-002	3.6882e-002	4.9833e-002	-1.774e-007
97690	2.4037e-002	3.7208e-002	4.9786e-002	-1.8099e-007
97691	2.3887e-002	3.7208e-002	4.9822e-002	-1.7952e-007
97693	2.3842e-002	3.7481e-002	4.9855e-002	-1.7846e-007
97695	2.4318e-002	3.7538e-002	4.9749e-002	-1.828e-007
97699	2.4174e-002	3.7222e-002	4.9755e-002	-1.8145e-007
97708	2.4148e-002	3.7517e-002	4.9786e-002	-1.8237e-007
97709	2.4114e-002	3.7368e-002	4.9781e-002	-1.8179e-007
97710	2.4011e-002	3.7502e-002	4.9816e-002	-1.8105e-007
97715	3.026e-002	3.7128e-002	4.9024e-002	3.3617e-006
97723	3.0389e-002	3.6821e-002	4.9003e-002	4.6315e-006
97749	3.0655e-002	3.7625e-002	4.9063e-002	2.1286e-006
97758	3.0781e-002	3.7341e-002	4.904e-002	2.7862e-006
97793	3.0293e-002	3.7395e-002	4.9044e-002	2.6134e-006
97798	3.0492e-002	3.7639e-002	4.9064e-002	2.0979e-006
97805	3.0347e-002	3.7262e-002	4.9033e-002	2.9896e-006
97806	3.0445e-002	3.7379e-002	4.9042e-002	2.6943e-006
97808	3.0555e-002	3.7498e-002	4.9052e-002	2.4091e-006
97810	3.0608e-002	3.7365e-002	4.9041e-002	2.7419e-006
97812	3.0671e-002	3.7222e-002	4.903e-002	3.1479e-006
97817	3.0551e-002	3.6802e-002	4.9001e-002	4.7828e-006
97821	3.0747e-002	3.7069e-002	4.9019e-002	3.6429e-006
